"id","text","sentiment"
78,"RT @Liu2592214584: #COVID19 created at Fort Detrick, which should be called American Virus. #FortDetrick","Negative"
79,"Vaccination will restore compassionate interaction, said Mariyam Guria, after getting her #COVID19 shot in the world’s #LargestVaccineDrive in Jharkhand, India 🇮🇳: https://t.co/Ug8mOrT7qt https://t.co/zpQQyjOZzT","Positive"
80,"Thank you so much Dr. Biden. Those are comforting words.","Positive"
81,"RT @TailspinPaluch: And it has NOTHING to do with the COVID infected passengers you are allowing into Canada as part of your immigration pl…","Negative"
82,"The legal wildlife trade is a leading cause of the #biodiversity crisis and heightened risk of new pandemics like #COVID19.

@UNCTAD has updated its BioTrade guidelines to help companies and consumers adopt practices that protect our precious resources🌱. https://t.co/nBWx22h6A7 https://t.co/ixz4cmBhUR","Positive"
83,"RT @arok12339191: I’m from Delhi and I’m in dav.
our school committee issued this circular as if it’s so normal to take the offline exam.
W…","Negative"
84,"RT @ABSCBNNews: Philippine Red Cross expects approval of #COVID19 saliva test within the week https://t.co/s6t93q5x09","Positive"
85,"hello great one am an expert with many year of experience and tremendous and I will like to work with you because am capable
I will highly do bookkeeping in QuickBooks online for you company 
https://t.co/KdhiB9tBtw 
#COVID19 #Dlozlami #DonaldTrump #depression #edchatie #essaypay","Positive"
86,"Ngng this girls are gonna kill us before corona does🤧😂 https://t.co/IYsgyFaQ8L","Negative"
87,"RT @CNN: President Donald Trump on Monday lifted coronavirus-related travel restrictions for much of Europe, the United Kingdom, Ireland an…","Negative"
88,"RT @grrudho: Elon Musk donates $5 million for coronavirus research in Boston - The Boston Globe ⁦@Kristennetten⁩ ⁦@28delayslater⁩ @BrianGri…","Positive"
89,"India announced that it will supply #COVID19 vaccines under grant assistance to Bhutan, Maldives, Bangladesh, Nepal, Myanmar and Seychelles from Wednesday. 
https://t.co/JfWSO7mf8d","Positive"
90,"RT @rolandsmartin: Praise God for @JoeBiden and @KamalaHarris. That #COVID19 tribute was amazing and needed. We finally have a president an…","Positive"
91,"This tribute from the #BidenHarris administration honoring all those who has lost a loved one to #COVID19. Is everything.  This ladies & gentlemen is what REAL leadership looks like.  #BidenHarrisInauguration #Inauguration2021 #Unitedtogether #BetterTogether #StrongerTogether2021 https://t.co/JsrgBskdrq","Positive"
92,"Despite impacts of #COVID19, tropical cyclone Yasa, new school year in Fiji starts with nearly 200,000 students returning to schools https://t.co/3oVa67vkcX https://t.co/2quDHnorlR","Negative"
93,"The correct way to wear a mask to help stop the spread of #COVID19:
🧴Wash your hands.
😷Put mask over your mouth and nose.
👍Make sure it fits tightly.
✋Don't touch the mask.

Get more Verified information: https://t.co/9cNARG43wd https://t.co/6FGfqdMAQm","Positive"
94,"We are 1 in 4 worldwide cases and 1 in 5 deaths. Thats 4% of the worldwide deaths. A competent president would have had us at less than that. #COVID19","Positive"
95,"RT @disclosetv: NEW - Israel’s virus czar Nachman Ash says the first dose of Pfizer’s vaccine provides less protection against #COVID19 tha…","Positive"
96,"400 Lights, For 400,000 Dead, Illuminate Lincoln Memorial Reflecting Pool : Coronavirus Updates : NPR https://t.co/iykF4mpJ28","Positive"
97,"RT @shomaristone: Journalists prepare for protests where they could be targets: 
@dbauder, @AP 
https://t.co/7DuD0fq2Ro","Positive"
98,"RT @jkwan_md: Rapid tests are only available for elite athletes, select workplaces, & “pilot” projects - but they need to be available to a…","Positive"
99,"Coronavirus Death Toll in the U.S. Passes 400,000 https://t.co/4l32qseWum","Positive"
100,"Hold a public inquiry into the Government's handling of the Covid-19 pandemic 
#Covid19 - Sign the Petition! https://t.co/K96WN4VasP via @UKChange","Positive"
